id,"text",question_id,"created_at","updated_at",rate
1,"理念・方針を理解していなかった",1,"2018-02-02 07:20:50","2018-02-02 07:20:50",0
2,"理念・方針を意識はしていたが、理解は不足していた",1,"2018-02-02 07:21:00","2018-02-02 07:21:00",1
3,"理念・方針への理解は普通であった",1,"2018-02-02 07:21:09","2018-02-02 07:21:09",2
4,"理念・方針を理解し、一部、行動にも表れていた",1,"2018-02-02 07:21:21","2018-02-02 07:21:21",3
5,"理念・方針を理解し、常に行動に移していた",1,"2018-02-02 07:21:30","2018-02-02 07:21:30",4
6,"乱れが見られ、問題があった",2,"2018-02-02 07:21:38","2018-02-02 07:21:38",0
7,"清潔感への配慮が欠けており、挨拶も積極的ではなかった",2,"2018-02-02 07:21:49","2018-02-02 07:21:49",1
8,"挨拶、身だしなみ、言葉遣いについては問題なく標準的であった",2,"2018-02-02 07:22:00","2018-02-02 07:22:00",2
9,"基本マナーへの意識が高く、積極的な挨拶で職場を明るくした",2,"2018-02-02 07:27:22","2018-02-02 07:27:22",3
10,"基本マナーについては模範的であり、周囲へも注意を行っていた",2,"2018-02-02 07:33:14","2018-02-02 07:33:14",4
11,"かなり不足しているばかりでなく、意欲も見られなかった",3,"2018-02-02 07:33:49","2018-02-02 07:33:49",0
12,"最低限の知識は持っているが、日常の業務にはやや不足していた",3,"2018-02-02 07:34:03","2018-02-02 07:34:03",1
13,"基本的な知識はほぼマスターしており、日常の業務には支障はなかった",3,"2018-02-02 07:34:14","2018-02-02 07:34:14",2
14,"基本的な知識はかなり持っており、日常業務にも充分活用されていた",3,"2018-02-02 07:34:28","2018-02-02 07:34:28",3
15,"現在の業務に必要な知識ばかりでなく、付随業務についてもよく研究して活用していた",3,"2018-02-02 07:34:37","2018-02-02 07:34:37",4
16,"ミスが多く、顧客や周囲に迷惑をかけた",4,"2018-02-02 07:34:48","2018-02-02 07:34:48",0
17,"努力はしているがミスがしばしばあった",4,"2018-02-02 07:34:57","2018-02-02 07:34:57",1
18,"問題ない正確さで処理できていた",4,"2018-02-02 07:35:06","2018-02-02 07:35:06",2
19,"常に正確に処理できていた",4,"2018-02-02 07:35:19","2018-02-02 07:35:19",3
