id,"text","created_at","updated_at",weight
1,"会社の理念・方針を理解していたか","2018-01-23 15:14:11","2018-02-15 04:01:53",3
2,"挨拶、言葉遣い、身だしなみは適切であったか","2018-01-23 23:41:46","2018-01-23 23:41:46",1
3,"日常業務に必要な一定レベル以上の業務知識を保有し活用しているか","2018-01-23 23:42:15","2018-01-23 23:42:15",2
4,"ミスのない丁寧な業務処理を行い、仕事のできばえは正確・確実であったか","2018-01-23 15:14:11","2018-01-23 15:14:11",2
5,"基本的なパソコンスキル（ワード・エクセル）を有していたか","2018-01-23 23:44:47","2018-01-23 23:44:47",1
6,"自社のサービス、商品を理解していたか","2018-01-23 23:46:04","2018-01-23 23:46:04",3
7,"顧客との良好な関係を維持していたか","2018-01-23 23:52:05","2018-01-23 23:52:05",1
8,"迅速に業務処理を行い、一定の時間内で与えられた仕事をこなしたか","2018-01-23 23:54:09","2018-01-23 23:54:09",1
9,"事務所・工場など会社施設の美化に努め、身の回りの整理・整頓を行ったか","2018-01-23 23:54:23","2018-01-23 23:54:23",2
10,"クレーム・トラブル発生の際、迅速かつ的確な対応ができたか","2018-01-23 23:54:31","2018-01-23 23:54:31",1
11,"何事に対しても自らの問題として捉え、高い意欲を持って、積極的に行動したか","2018-01-23 23:54:40","2018-01-23 23:54:40",2
12,"チームワークを大切にし、社内のコミュニケーションを深める努力をしたか","2018-01-23 23:54:48","2018-01-23 23:54:48",2
13,"出退勤時間は適切で、会社のルールを守っていたか","2018-01-23 23:54:55","2018-01-23 23:54:55",1
14,"法令順守の意識を強く持ち、徹底したか","2018-01-23 23:55:03","2018-01-23 23:55:03",1
15,"報告・連絡・相談を迅速、正確に行っていたか","2018-02-02 07:57:54","2018-02-02 07:57:54",2
73,"挨拶、言葉遣い、身だしなみは適切であったか","2018-03-06 07:09:08","2018-03-06 07:09:08",2
81,"会社の理念・方針を理解し、実行に移したか","2018-03-07 08:00:45","2018-03-07 08:00:45",3
82,"５Ｓ（整理・整頓・清掃・清潔・躾）の必要性を理解し、実行を心がけていたか","2018-03-07 08:26:05","2018-03-07 08:26:05",2
83,"５Ｓ（整理・整頓・清掃・清潔・躾）の必要性を理解し、実行を心がけていたか","2018-03-07 08:32:44","2018-03-07 08:32:44",3
84,"労働災害、災害、事故の発生予防に努め、職場の環境改善を行ったか","2018-03-07 14:26:20","2018-03-07 14:26:20",1
85,"ミスのない丁寧な業務処理を行い、仕事のできばえは正確・確実であったか","2018-03-07 14:28:57","2018-03-07 14:28:57",3
86,"担当業務に必要な一定レベル以上の専門知識・技能及び関連知識を保有し活用しているか","2018-03-07 14:31:45","2018-03-07 14:31:45",2
